                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 3.0552,                 3.7342,                 4.3283,                0.00167,                    0.5,                0.00253,                0.00093,                  2.039,                 4.3565,                 4.1091,               0.051525,               0.002525,               0.002525
                     52,                 2.7786,                 3.9276,                 4.2134,                0.00167,                    0.5,                0.00253,                0.00093,                  2.039,                 4.3565,                 4.1091,               0.050523,               0.002523,               0.002523
                     53,                 2.9192,                 3.5269,                 4.1645,                0.00167,                    0.5,                0.00249,                0.00091,                 2.0388,                 4.3504,                 4.1083,               0.049519,              0.0025191,              0.0025191
                     54,                 3.0734,                 3.7156,                 4.3548,                0.00167,                    0.5,                0.00249,                0.00091,                 2.0388,                 4.3504,                 4.1083,               0.048513,              0.0025132,              0.0025132
                     55,                 2.7586,                 3.8708,                 4.2507,                0.00167,                    0.5,                0.00249,                0.00091,                 2.0388,                 4.3504,                 4.1083,               0.047505,              0.0025053,              0.0025053
                     56,                 3.2075,                 3.7179,                 4.2145,                0.00167,                    0.5,                0.00253,                0.00092,                 2.0391,                 4.3441,                 4.1078,               0.046495,              0.0024954,              0.0024954
                     57,                 3.1664,                 4.0163,                 4.1866,                0.00167,                    0.5,                0.00253,                0.00092,                 2.0391,                 4.3441,                 4.1078,               0.045483,              0.0024835,              0.0024835
                     58,                 2.7181,                 3.7813,                 4.3962,                0.00167,                    0.5,                0.00253,                0.00092,                 2.0391,                 4.3441,                 4.1078,                0.04447,              0.0024696,              0.0024696
                     59,                  2.605,                 4.2029,                 4.2601,                0.00167,                    0.5,                0.00252,                0.00088,                  2.038,                 4.3388,                 4.1075,               0.043454,              0.0024538,              0.0024538
                     60,                 2.8357,                 3.8138,                 4.1768,                0.00167,                    0.5,                0.00252,                0.00088,                  2.038,                 4.3388,                 4.1075,               0.042436,               0.002436,               0.002436
                     61,                 2.7362,                 3.5471,                 4.2828,                0.00167,                    0.5,                0.00252,                0.00088,                  2.038,                 4.3388,                 4.1075,               0.041416,              0.0024162,              0.0024162
